city,rainfall,temperature,aqi,humidity,heat_index,orders_completed,active_hours,acceptance_rate,idle_time,avg_delivery_time,zone_demand,order_drop_rate,delivery_delay,traffic_level,zone_risk,experience,past_claims,trust_score,income_drop,premium_amount,weather_source
,13.47,28.52,56.93,80.27,33.49,73.61,11.55,89.69,36.71,37.11,77.61,9.2,28.39,44.42,,0.81,1.0,64.69,0,54.53,deterministic_fallback
hyderabad,1.9,33.67,125.57,44.97,36.16,64.82,7.82,81.06,40.63,38.8,79.37,8.84,35.07,65.58,38.72,0.0,1.0,42.6,0,74.33,deterministic_fallback
chennai,16.64,30.39,97.03,70.32,36.09,64.84,9.54,94.05,41.46,33.51,76.28,7.21,28.48,39.59,40.22,6.44,1.0,87.01,0,50.77,deterministic_fallback
bangalore,3.02,27.95,67.61,72.26,30.87,74.52,10.65,71.83,27.18,30.08,76.84,4.44,26.32,34.04,38.45,6.31,,93.73,0,42.39,deterministic_fallback
delhi,13.27,34.2,181.62,39.2,,72.94,10.36,95.57,51.22,,74.22,6.75,25.17,59.69,36.21,8.23,0.0,100.0,0,43.46,deterministic_fallback
bangalore,12.12,26.16,35.0,66.13,26.16,68.9,9.87,78.42,26.42,42.88,56.34,4.79,35.58,50.16,44.56,2.32,1.0,57.85,1,71.3,deterministic_fallback
mumbai,10.22,25.99,58.12,81.16,25.99,68.75,9.56,85.54,48.16,36.8,60.09,7.79,28.33,47.01,32.69,6.16,3.0,76.2,0,58.01,deterministic_fallback
chennai,13.95,31.51,134.98,,38.62,82.01,10.25,77.19,62.2,36.51,79.39,0.0,22.66,47.64,51.2,1.24,0.0,65.97,0,50.86,deterministic_fallback
hyderabad,7.39,33.86,85.99,61.32,42.35,85.97,8.46,94.45,24.81,27.86,90.8,4.0,12.57,36.55,27.96,7.47,0.0,93.38,0,25.77,deterministic_fallback
chennai,,30.6,118.53,62.3,34.56,76.52,10.17,85.2,,31.63,83.36,8.75,26.71,57.43,37.01,5.03,1.0,86.4,0,50.5,deterministic_fallback
delhi,9.47,38.39,124.91,,54.18,67.34,9.27,74.83,,36.63,82.75,9.53,34.49,44.59,21.25,6.83,0.0,91.89,0,28.84,deterministic_fallback
kolkata,14.76,28.14,95.03,85.11,33.31,63.35,9.49,91.08,38.03,37.28,78.49,2.7,23.09,46.19,48.72,0.24,1.0,60.01,0,54.82,deterministic_fallback
kolkata,11.49,33.75,150.74,82.36,52.53,72.93,8.76,82.78,28.3,35.73,84.23,7.99,22.85,54.5,25.15,6.3,2.0,79.95,0,56.04,deterministic_fallback
chennai,18.57,33.45,91.17,84.48,52.43,44.66,8.94,73.3,74.46,44.6,67.44,4.69,30.37,65.31,40.22,4.44,1.0,86.1,0,48.73,deterministic_fallback
mumbai,11.86,26.19,117.51,76.31,26.19,64.44,8.32,80.47,44.96,34.24,77.89,6.33,32.07,,31.73,4.14,0.0,89.04,1,57.85,deterministic_fallback
bangalore,9.74,26.67,84.5,63.84,27.92,60.51,8.32,79.33,36.49,37.36,72.66,8.05,19.39,61.44,36.98,3.91,0.0,77.82,0,43.33,deterministic_fallback
mumbai,14.36,35.08,82.06,90.13,60.0,70.46,8.49,83.68,29.02,37.36,74.15,4.31,23.54,35.73,22.51,5.47,1.0,100.0,0,39.9,deterministic_fallback
mumbai,9.28,25.32,94.05,93.47,25.32,80.09,9.44,87.97,39.25,32.13,88.72,9.81,21.08,53.78,28.97,5.28,2.0,73.32,0,56.58,deterministic_fallback
hyderabad,7.32,28.3,60.75,53.04,29.11,85.73,9.59,89.1,10.74,30.18,90.98,7.32,28.0,52.3,35.78,3.36,2.0,76.92,0,64.9,deterministic_fallback
chennai,1.12,29.91,136.91,73.18,35.6,55.82,10.78,86.83,53.63,35.22,51.17,7.25,25.36,45.95,44.67,2.86,0.0,68.51,0,53.42,deterministic_fallback
kolkata,15.85,38.76,178.06,90.63,60.0,36.92,6.84,59.85,48.42,46.21,65.38,10.9,31.87,81.03,57.33,0.0,0.0,67.41,1,80.06,deterministic_fallback
delhi,11.94,33.71,165.31,49.33,37.56,73.88,7.48,84.67,46.27,30.49,73.36,9.28,24.42,49.11,25.49,6.3,0.0,95.84,0,44.15,deterministic_fallback
delhi,8.38,36.34,143.25,54.43,46.2,84.49,11.16,79.43,38.97,35.76,88.88,8.92,30.09,39.26,22.41,5.93,0.0,82.21,0,43.45,deterministic_fallback
bangalore,11.41,30.45,70.71,75.16,37.62,73.54,11.36,91.08,54.12,47.8,63.1,5.97,36.66,45.42,21.9,5.71,0.0,87.37,0,36.55,deterministic_fallback
mumbai,15.85,27.7,129.69,74.77,30.68,72.84,11.58,77.67,51.24,31.39,48.24,4.58,30.07,37.62,23.54,6.89,3.0,,0,45.07,deterministic_fallback
mumbai,20.08,31.87,94.08,82.96,45.15,59.94,7.72,85.11,51.77,43.76,81.0,7.15,33.2,47.48,52.96,2.5,2.0,60.2,0,75.86,deterministic_fallback
bangalore,24.22,25.38,108.89,69.89,25.38,76.39,9.64,93.73,58.98,25.75,81.5,9.18,31.79,55.04,53.22,2.12,3.0,63.15,1,95.04,deterministic_fallback
delhi,12.76,33.61,164.79,40.29,34.83,71.2,8.98,77.62,38.36,31.79,61.66,3.57,20.58,41.78,22.49,8.91,1.0,100.0,0,34.3,deterministic_fallback
hyderabad,25.78,26.03,102.4,52.14,26.03,69.0,10.06,85.27,71.81,38.69,77.66,9.47,30.83,47.51,43.4,8.12,0.0,99.06,1,51.76,deterministic_fallback
bangalore,8.85,27.06,145.86,63.49,28.43,78.92,9.78,88.31,45.46,36.89,93.41,8.71,40.54,66.87,44.19,6.76,1.0,77.18,0,62.79,deterministic_fallback
chennai,28.95,37.33,84.33,83.74,60.0,42.62,6.51,76.69,49.98,38.29,58.04,6.83,,43.09,31.3,0.0,0.0,67.8,1,60.93,deterministic_fallback
hyderabad,,34.13,141.48,67.17,45.82,74.51,9.7,68.74,31.49,35.83,74.49,7.2,24.23,40.63,31.64,3.65,0.0,78.86,0,51.15,deterministic_fallback
delhi,12.39,38.81,231.61,55.99,55.04,66.46,8.41,79.79,34.12,40.71,78.45,8.76,22.65,35.52,26.82,6.0,1.0,93.51,0,47.72,deterministic_fallback
chennai,14.56,36.17,92.95,78.69,60.0,57.81,9.72,69.26,48.92,47.82,56.4,8.57,32.36,41.29,42.38,0.23,2.0,57.09,0,86.09,deterministic_fallback
chennai,8.66,31.81,41.34,78.0,42.86,83.94,,82.25,43.31,41.37,74.16,9.32,36.68,56.16,24.05,7.29,0.0,96.0,0,47.09,deterministic_fallback
delhi,9.65,33.87,176.67,51.99,38.79,51.82,7.18,96.02,66.78,33.63,59.89,14.77,29.3,53.25,35.25,6.78,2.0,88.18,1,74.3,deterministic_fallback
delhi,21.44,32.23,160.14,53.98,35.84,64.51,7.64,82.33,44.09,35.61,68.92,8.14,27.18,56.42,29.98,2.11,2.0,57.18,0,67.02,deterministic_fallback
hyderabad,13.28,28.38,106.28,62.87,30.4,79.67,12.49,88.07,53.67,34.41,67.82,5.59,30.07,56.21,23.41,4.32,2.0,85.19,0,58.69,deterministic_fallback
mumbai,26.42,33.16,100.09,68.88,43.49,80.78,8.96,83.44,32.15,33.88,80.76,2.88,25.81,47.75,32.63,7.99,1.0,92.31,1,46.38,deterministic_fallback
mumbai,20.62,31.34,135.4,73.33,39.63,75.67,9.94,83.64,74.77,38.88,84.01,,31.25,67.97,39.02,7.12,2.0,84.62,0,53.11,deterministic_fallback
mumbai,13.87,33.93,154.17,70.88,46.99,91.24,9.4,87.16,20.77,,90.65,5.35,28.86,37.35,17.56,6.38,,100.0,0,25.28,deterministic_fallback
chennai,12.35,34.08,129.31,83.84,54.88,91.86,10.24,81.2,56.22,31.62,100.0,9.13,33.28,33.82,20.63,7.54,2.0,90.83,0,50.3,deterministic_fallback
hyderabad,27.93,30.7,80.48,73.47,37.81,60.26,7.63,80.92,48.46,41.35,78.17,7.33,33.08,58.51,41.11,,0.0,87.8,1,54.17,deterministic_fallback
hyderabad,15.43,,68.5,41.88,27.56,85.5,11.77,90.71,14.02,35.05,77.04,8.17,27.83,44.34,15.49,8.26,1.0,99.07,0,35.61,deterministic_fallback
chennai,10.69,32.63,102.55,87.37,50.38,74.41,10.56,80.25,56.41,35.25,76.82,5.78,37.05,48.66,26.82,8.12,1.0,99.91,0,43.39,deterministic_fallback
bangalore,13.14,31.25,115.51,69.75,38.21,54.8,9.6,72.67,49.31,37.75,60.91,7.45,,60.68,34.16,0.0,1.0,57.37,0,52.83,deterministic_fallback
bangalore,7.27,26.91,80.66,76.68,29.25,90.82,10.68,80.75,33.52,30.3,81.54,8.6,24.81,52.82,38.33,4.88,3.0,79.51,0,74.02,deterministic_fallback
mumbai,21.79,34.6,133.25,83.79,57.25,63.94,7.57,77.46,54.95,38.69,68.63,6.32,25.19,50.68,25.2,3.76,2.0,62.78,0,63.3,deterministic_fallback
mumbai,22.92,31.65,93.92,91.36,48.06,52.92,7.09,76.06,57.47,43.98,79.79,8.92,30.76,64.73,,4.27,0.0,83.48,0,46.39,deterministic_fallback
hyderabad,20.43,36.64,68.74,61.31,51.02,47.51,9.21,91.61,55.9,42.7,61.53,6.84,33.96,59.59,47.83,0.92,1.0,68.03,0,73.77,deterministic_fallback
,16.06,21.91,97.1,58.38,21.91,81.64,10.48,91.25,59.59,33.65,72.16,4.46,32.21,57.0,37.18,5.49,0.0,91.59,0,45.01,deterministic_fallback
bangalore,13.66,33.88,62.06,68.25,45.53,80.58,9.44,83.18,38.47,35.31,82.79,8.06,23.22,33.06,26.2,6.64,2.0,69.27,0,60.09,deterministic_fallback
chennai,11.96,28.68,110.62,79.08,33.68,56.69,10.61,92.94,60.8,40.41,73.04,8.56,35.15,86.84,32.31,3.0,0.0,74.93,0,45.65,deterministic_fallback
hyderabad,9.04,33.94,123.8,57.0,40.79,88.6,9.09,89.31,32.43,28.45,59.02,7.52,18.65,32.95,31.05,6.14,0.0,81.74,0,38.55,deterministic_fallback
bangalore,24.34,28.44,69.75,75.21,32.38,72.37,11.54,85.73,54.63,33.34,71.91,9.47,20.2,43.45,27.76,2.28,1.0,77.7,0,55.09,deterministic_fallback
bangalore,5.64,,74.09,67.93,28.52,89.46,10.31,78.59,31.02,33.7,70.8,5.78,25.8,41.45,27.71,6.19,1.0,83.96,0,44.54,deterministic_fallback
delhi,10.37,35.28,176.53,45.07,39.46,69.77,10.3,88.23,34.14,41.3,80.41,7.26,30.11,76.56,46.54,0.0,0.0,70.22,1,68.36,deterministic_fallback
mumbai,11.93,32.07,96.27,70.27,40.71,79.79,9.4,92.92,33.53,27.46,88.49,6.49,31.1,41.56,27.36,6.74,1.0,80.71,0,47.36,deterministic_fallback
bangalore,28.24,27.78,68.19,67.12,29.91,62.02,11.05,81.66,53.42,38.05,50.89,9.8,40.47,60.23,43.5,4.02,0.0,83.24,1,68.59,deterministic_fallback
mumbai,25.14,34.72,107.21,81.65,56.37,54.91,8.26,62.77,55.03,39.95,81.72,7.24,26.0,44.38,30.35,3.72,1.0,75.38,0,53.23,deterministic_fallback
bangalore,14.18,33.94,53.76,53.46,39.46,86.27,9.89,81.8,17.9,24.7,81.96,6.2,12.95,31.4,13.15,6.35,1.0,100.0,0,37.53,deterministic_fallback
chennai,9.13,34.94,89.65,68.49,49.26,54.13,10.22,87.01,59.73,35.68,56.15,4.41,20.77,57.1,37.07,0.0,1.0,66.45,0,51.68,deterministic_fallback
delhi,0.0,38.6,217.15,33.03,38.6,81.3,8.42,88.66,24.23,34.73,86.29,4.82,21.36,42.28,34.46,7.82,0.0,100.0,0,38.33,deterministic_fallback
mumbai,22.36,31.02,142.71,74.85,39.2,66.58,9.52,96.71,20.25,42.55,62.4,5.6,31.58,53.87,35.2,5.47,1.0,97.56,0,51.83,deterministic_fallback
delhi,9.76,41.27,233.57,59.36,60.0,78.11,7.74,76.37,25.55,35.08,87.09,9.81,26.12,57.01,35.38,7.71,0.0,99.46,0,40.2,deterministic_fallback
delhi,9.55,36.2,140.78,40.28,39.65,61.16,10.26,81.61,42.96,42.13,69.34,6.41,24.33,66.33,27.14,4.74,0.0,83.1,0,38.54,deterministic_fallback
hyderabad,10.65,27.56,56.96,64.48,29.25,65.62,10.34,96.98,46.09,23.91,56.84,5.87,30.81,35.95,30.04,1.0,0.0,,0,51.35,deterministic_fallback
bangalore,12.63,30.28,61.2,91.8,42.45,69.03,9.64,82.17,33.61,40.98,98.48,8.98,32.04,45.25,,5.55,0.0,89.85,0,48.9,deterministic_fallback
chennai,15.16,35.72,69.38,86.84,60.0,57.4,7.02,70.44,30.98,39.56,,11.55,37.39,48.06,30.49,4.62,2.0,56.27,1,79.27,deterministic_fallback
hyderabad,8.63,31.79,93.0,59.76,,83.87,10.26,90.97,31.64,31.69,72.14,4.61,16.67,50.78,35.69,7.63,0.0,97.11,0,37.53,deterministic_fallback
bangalore,7.89,27.93,56.65,75.5,31.26,68.56,10.66,85.37,33.72,39.54,71.09,4.69,36.64,74.52,31.25,5.05,0.0,86.8,0,47.35,deterministic_fallback
chennai,13.06,37.54,96.55,64.09,56.13,70.15,8.05,78.28,45.77,35.59,69.9,9.26,26.38,48.53,33.54,3.24,3.0,64.42,0,59.14,deterministic_fallback
mumbai,20.5,30.16,110.78,67.05,34.71,75.79,10.91,86.58,38.61,34.21,77.83,7.19,23.97,34.02,53.29,0.91,0.0,55.47,0,63.19,deterministic_fallback
mumbai,31.07,22.3,93.55,80.71,22.3,64.63,10.32,86.21,59.14,36.21,71.74,7.73,29.06,55.04,45.79,2.15,1.0,67.02,1,72.18,deterministic_fallback
mumbai,16.4,37.63,192.64,,,74.25,8.03,70.89,19.61,25.36,83.69,10.21,20.2,47.92,30.07,5.29,0.0,75.62,0,53.7,deterministic_fallback
chennai,16.01,32.3,110.36,84.04,47.34,57.38,6.56,71.32,33.25,32.62,76.71,6.29,24.81,39.38,12.74,2.29,0.0,84.95,0,38.17,deterministic_fallback
bangalore,12.37,24.32,102.84,64.44,24.32,57.67,9.82,78.23,67.05,33.14,57.3,8.16,30.31,,27.25,2.83,0.0,73.21,1,60.22,deterministic_fallback
mumbai,8.9,26.82,112.91,80.26,29.37,76.48,10.37,77.13,45.75,36.96,76.52,6.31,17.16,43.86,50.65,0.0,3.0,,0,85.19,deterministic_fallback
bangalore,13.52,27.29,73.9,70.35,29.38,76.79,9.91,88.24,43.7,39.54,82.17,15.96,37.91,72.19,34.22,7.76,2.0,88.67,1,75.33,deterministic_fallback
mumbai,6.36,,128.65,77.46,31.29,75.19,10.74,83.44,26.41,37.01,,6.36,28.96,45.76,16.68,7.2,2.0,93.8,0,48.83,deterministic_fallback
hyderabad,3.29,27.15,116.51,57.68,28.1,88.69,9.77,74.44,47.67,30.19,94.47,8.49,24.42,52.61,45.79,1.75,4.0,56.07,0,85.59,deterministic_fallback
bangalore,13.59,25.47,50.27,62.25,25.47,62.07,10.03,74.32,68.26,41.94,76.59,7.09,36.31,76.71,45.75,0.0,1.0,51.8,1,85.79,deterministic_fallback
delhi,16.94,37.74,213.08,52.59,49.33,,10.51,83.0,27.52,41.15,84.09,10.21,31.15,48.96,50.29,6.88,1.0,85.11,1,68.17,deterministic_fallback
delhi,13.35,42.78,140.28,51.63,60.0,91.4,9.1,79.18,29.61,35.89,87.25,6.37,25.72,59.51,41.15,6.47,,89.74,0,48.91,deterministic_fallback
hyderabad,18.68,35.44,118.52,55.97,44.4,60.91,7.96,79.32,44.99,40.15,75.64,9.08,24.63,41.48,41.17,8.25,2.0,89.26,0,56.31,deterministic_fallback
delhi,5.17,38.48,189.46,54.74,53.04,57.23,6.92,73.75,,,80.27,8.04,37.29,61.52,44.15,4.4,0.0,73.44,0,61.8,deterministic_fallback
mumbai,28.4,30.78,69.6,88.49,43.21,70.86,9.73,85.74,51.21,35.31,77.93,8.57,20.04,42.11,37.84,4.91,,84.12,0,39.32,deterministic_fallback
mumbai,27.26,31.3,149.26,85.6,44.09,70.34,10.41,80.26,73.62,38.12,69.0,6.03,28.59,57.44,36.39,5.61,0.0,78.48,1,56.47,deterministic_fallback
kolkata,,31.81,194.86,,40.98,51.8,7.88,90.47,39.04,35.92,57.6,5.22,22.0,76.88,52.02,1.18,0.0,74.06,1,65.34,deterministic_fallback
kolkata,6.84,28.25,79.87,82.34,33.15,62.34,9.97,84.89,38.68,35.49,75.45,2.02,28.99,46.43,23.51,3.3,,77.06,0,51.23,deterministic_fallback
hyderabad,17.15,33.34,94.41,52.08,37.63,80.7,12.24,78.6,45.78,33.22,78.85,7.92,24.64,30.91,38.78,2.39,1.0,62.18,0,52.48,deterministic_fallback
delhi,1.82,35.56,201.73,49.92,42.0,70.34,9.56,89.9,46.18,37.93,76.52,5.49,21.33,52.44,40.28,6.52,0.0,87.0,1,53.24,deterministic_fallback
kolkata,13.52,35.52,151.58,74.82,55.35,77.46,11.45,75.7,36.69,41.49,76.93,12.4,25.71,59.03,42.88,7.92,0.0,95.47,0,48.89,deterministic_fallback
chennai,9.18,30.89,143.05,84.95,42.27,54.96,8.49,76.91,37.78,38.94,70.34,5.72,29.39,62.33,41.66,0.0,0.0,61.78,0,49.11,deterministic_fallback
,17.39,27.67,139.24,65.66,29.55,50.18,9.05,88.62,47.5,37.77,66.45,10.69,31.64,,54.99,0.0,2.0,56.2,0,78.08,deterministic_fallback
bangalore,6.23,25.36,93.47,77.72,25.36,68.46,9.16,90.61,61.24,40.82,89.7,8.86,20.29,66.4,37.12,2.41,6.0,53.51,0,94.11,deterministic_fallback
delhi,11.85,27.04,237.72,58.36,28.01,59.2,8.67,87.14,33.11,38.0,71.09,8.3,25.15,58.38,,2.0,,74.28,0,66.76,deterministic_fallback
mumbai,13.87,31.81,144.57,76.94,42.44,,7.44,75.4,39.25,36.31,65.7,5.23,28.02,,38.68,0.9,4.0,61.81,0,79.71,deterministic_fallback
kolkata,33.39,31.36,117.96,80.27,42.21,68.71,9.07,91.66,61.16,36.3,59.73,8.4,34.22,43.24,39.1,7.9,2.0,91.17,0,61.37,deterministic_fallback
bangalore,14.95,23.11,55.53,83.13,23.11,72.44,10.13,88.26,28.33,26.28,73.73,9.96,,44.46,32.18,4.45,1.0,69.57,0,56.96,deterministic_fallback
mumbai,15.7,33.02,148.53,,47.2,67.17,8.32,81.12,47.7,30.16,71.07,12.53,23.39,52.13,26.09,6.42,0.0,80.26,0,41.72,deterministic_fallback
delhi,9.2,38.47,160.6,38.9,38.47,76.55,9.54,85.88,14.97,31.14,69.15,4.08,29.41,37.05,35.03,4.94,1.0,92.36,0,47.45,deterministic_fallback
bangalore,13.39,29.99,62.91,77.13,36.83,75.84,11.69,93.75,39.69,38.78,,6.94,26.27,43.31,38.98,6.24,1.0,90.47,0,44.17,deterministic_fallback
mumbai,13.54,27.3,99.76,80.23,30.44,78.78,11.28,79.87,42.49,31.69,78.69,4.13,10.42,51.61,23.25,6.15,1.0,87.94,0,32.72,deterministic_fallback
chennai,16.85,32.18,114.78,87.4,48.45,54.43,8.48,70.25,48.01,34.25,,6.8,33.66,43.24,31.39,1.05,2.0,62.36,0,66.46,deterministic_fallback
chennai,10.24,36.29,79.84,76.76,60.0,63.54,8.44,83.8,31.71,37.85,78.88,11.34,30.73,57.3,42.1,1.51,2.0,62.49,0,80.19,deterministic_fallback
hyderabad,10.14,39.88,61.72,58.65,60.0,52.97,6.36,67.84,,,60.5,4.75,25.79,35.37,18.1,4.53,2.0,78.28,0,48.38,deterministic_fallback
bangalore,18.91,27.64,103.29,81.72,31.44,75.5,10.17,90.19,46.3,33.12,80.14,3.33,27.69,61.51,52.21,2.74,1.0,68.19,0,71.23,deterministic_fallback
hyderabad,4.13,32.61,93.62,46.02,34.5,81.6,10.45,95.04,52.22,33.6,74.64,6.92,27.07,44.39,39.85,6.54,0.0,99.46,0,51.09,deterministic_fallback
hyderabad,9.18,35.36,134.25,54.05,43.28,68.9,8.86,81.4,45.28,32.17,72.19,7.5,24.95,38.83,52.43,0.75,1.0,57.98,0,69.41,deterministic_fallback
hyderabad,17.78,31.93,119.31,52.32,34.8,73.03,9.89,79.97,31.42,35.16,71.99,6.18,,63.93,42.31,1.83,0.0,,0,53.04,deterministic_fallback
mumbai,17.47,32.49,146.03,61.84,38.85,77.12,9.29,86.84,35.52,,71.7,5.26,23.88,53.15,56.04,3.45,3.0,54.65,0,89.82,deterministic_fallback
bangalore,22.63,31.86,105.08,76.8,42.57,56.59,7.69,89.58,41.22,39.44,73.06,8.17,30.13,57.3,54.17,1.21,1.0,62.1,0,74.73,deterministic_fallback
mumbai,28.03,39.01,149.56,75.78,60.0,,9.93,76.42,48.16,42.45,76.75,4.36,25.63,43.7,31.15,6.83,1.0,98.5,1,53.18,deterministic_fallback
bangalore,12.64,29.5,89.43,76.25,35.26,77.95,10.81,78.85,41.03,29.61,,7.46,20.58,64.65,54.93,0.0,2.0,51.2,1,82.65,deterministic_fallback
delhi,13.3,45.32,209.64,53.18,60.0,62.03,7.77,75.77,39.97,38.04,78.08,7.79,29.63,52.14,30.02,,0.0,86.42,1,51.06,deterministic_fallback
mumbai,14.52,29.1,145.56,84.02,35.96,69.97,8.18,75.39,77.61,35.57,78.09,10.96,32.72,56.28,34.64,5.2,0.0,87.91,0,44.97,deterministic_fallback
mumbai,10.65,38.33,,75.21,60.0,64.82,5.58,68.9,33.13,40.38,68.81,8.63,23.98,39.83,22.31,6.94,0.0,89.37,1,54.15,deterministic_fallback
hyderabad,7.9,35.22,93.88,52.52,42.26,79.33,11.87,80.47,55.96,36.4,78.35,6.02,24.15,50.62,36.68,2.84,1.0,82.12,0,54.92,deterministic_fallback
mumbai,21.4,34.55,144.83,80.43,54.83,71.67,8.44,77.87,,44.02,68.46,6.51,22.48,53.31,29.08,8.37,2.0,100.0,0,45.25,deterministic_fallback
kolkata,7.51,28.53,128.62,88.95,35.25,95.0,11.0,80.57,14.09,30.73,90.48,1.19,19.69,63.26,28.88,6.79,2.0,76.75,0,44.76,deterministic_fallback
hyderabad,9.85,36.73,124.5,58.39,49.57,59.04,7.91,79.51,47.35,40.17,60.47,6.09,22.58,54.07,35.99,3.81,1.0,74.53,0,48.17,deterministic_fallback
delhi,23.35,41.92,175.64,45.25,57.4,48.7,7.53,74.09,61.17,48.25,61.64,8.47,36.76,44.98,,2.39,3.0,56.33,1,91.21,deterministic_fallback
hyderabad,8.98,26.81,35.0,49.13,,66.05,9.62,81.41,53.28,34.74,56.04,6.14,18.35,54.13,37.23,,1.0,55.14,1,67.77,deterministic_fallback
mumbai,33.17,31.78,105.37,82.29,44.54,46.93,,64.69,57.15,40.91,73.07,8.19,33.46,60.74,58.11,0.44,4.0,48.43,1,97.18,deterministic_fallback
kolkata,26.36,23.38,157.08,78.68,23.38,71.93,10.14,87.54,42.94,33.83,69.92,11.29,24.49,29.9,29.8,5.45,0.0,92.79,0,40.06,deterministic_fallback
bangalore,7.93,26.85,50.15,68.06,28.46,93.03,9.32,98.97,24.91,27.9,88.34,5.86,25.65,29.83,29.92,8.63,3.0,,0,52.86,deterministic_fallback
chennai,13.8,30.79,129.6,73.19,37.98,61.17,8.9,87.37,55.07,31.61,67.05,5.26,31.79,50.9,36.48,5.59,0.0,84.1,0,49.99,deterministic_fallback
mumbai,14.72,31.63,137.49,75.62,41.35,95.0,9.53,84.35,35.37,36.52,85.52,2.93,27.57,50.7,33.8,8.77,1.0,83.1,1,49.99,deterministic_fallback
bangalore,7.48,37.35,57.9,70.95,60.0,79.37,6.32,72.28,27.81,32.44,85.42,5.81,30.98,43.81,26.39,7.03,2.0,82.1,1,53.06,deterministic_fallback
bangalore,14.01,34.99,91.29,73.56,52.39,75.67,7.93,81.28,47.58,41.37,80.81,5.22,37.48,55.14,23.89,,2.0,89.84,0,46.65,deterministic_fallback
kolkata,19.02,26.4,131.27,98.24,26.4,79.13,9.86,87.46,38.51,35.83,77.17,4.61,33.91,43.66,38.82,,0.0,80.99,0,54.27,deterministic_fallback
bangalore,17.78,29.82,108.11,75.49,35.93,81.51,10.64,90.92,54.03,26.26,80.89,5.87,19.83,36.63,33.07,7.9,1.0,100.0,0,39.11,deterministic_fallback
bangalore,12.15,28.63,105.8,81.72,34.07,73.36,11.87,79.54,45.12,32.7,68.86,8.81,15.41,,25.47,6.09,0.0,85.91,0,31.94,deterministic_fallback
delhi,15.89,36.84,192.96,43.72,42.41,55.6,8.77,82.61,36.48,34.98,57.79,10.47,26.27,46.18,37.73,1.01,1.0,64.18,0,58.34,deterministic_fallback
delhi,16.11,36.28,121.21,37.48,36.28,80.66,10.0,84.13,28.33,41.13,81.93,4.19,30.34,51.08,36.22,5.26,1.0,79.6,0,51.35,deterministic_fallback
bangalore,8.84,28.96,63.4,68.59,32.39,68.63,8.01,87.81,32.24,38.01,72.17,6.03,17.61,,39.19,4.02,1.0,68.47,0,54.1,deterministic_fallback
bangalore,7.91,20.04,35.0,75.5,20.04,92.68,10.7,73.57,59.69,33.22,82.93,7.51,24.69,28.54,33.92,6.06,1.0,89.14,0,50.48,deterministic_fallback
mumbai,13.47,26.24,133.63,84.69,26.24,68.13,8.9,82.66,31.73,36.03,86.51,7.33,,33.18,53.94,0.86,0.0,61.75,0,70.39,deterministic_fallback
chennai,15.44,35.34,132.93,84.93,60.0,61.57,7.77,75.76,53.11,,74.0,11.88,36.84,52.68,35.85,7.32,2.0,82.25,0,59.14,deterministic_fallback
kolkata,16.52,31.75,179.8,62.03,37.09,71.01,10.2,89.49,27.62,,65.97,5.14,,42.87,42.08,3.49,0.0,61.41,0,53.43,deterministic_fallback
